Ticker,final_values,rank
only_buy_GE_value,272677.82150641066,1
only_buy_META_value,254636.1501618856,2
tota_cum_value,187599.0044767595,3
only_buy_NEM_value,185673.2572475223,4
only_buy_LOW_value,145813.8443586248,5
only_buy_SO_value,138297.91805459335,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_WFC_value,134902.57703870186,8
only_buy_CSCO_value,130961.8928198282,9
only_buy_XOM_value,120667.69435358813,10
only_buy_DLR_value,119107.94042204268,11
only_buy_JNJ_value,106066.3323198442,12
only_buy_SYY_value,96453.42616450554,13
